name,sex,bodymass,wingspan,fat_mass,order,wingarea,muscle_mass
Turdus merula,NA,0.0915,0.406,0.030195,1,0.026,0.015555000000000001
Turdus naumanni,NA,0.0762,0.377,0.025146,1,0.0225,0.012954000000000002
Turdus philomelos,NA,0.0703,0.367,0.023199,1,0.0191,0.011951000000000002
Turdus pilaris,NA,0.098,0.429,0.03234,1,0.0225,0.01666
Turdus torquatus,NA,0.0965,0.427,0.031845000000000005,1,0.0222,0.016405000000000003
Turdus viscivorus,NA,0.106,0.44,0.03498,1,0.0307,0.01802
Ardea alba,NA,1.778,1.447,0.58674,2,0.2827,0.30226000000000003
Ardea cinerea,NA,1.408,1.726,0.46464,2,0.359,0.23936
Ardea herodias,NA,1.905,1.78,0.62865,2,0.4436,0.32385
Botaurus lentiginosus,NA,0.625,1.14,0.20625000000000002,2,0.1258,0.10625000000000001
Botaurus stellaris,NA,1.198,1.329,0.39534,2,0.2696,0.20366
Butorides striata,NA,0.23,0.635,0.07590000000000001,2,0.066,0.0391
Egretta caerulea,NA,0.449,1.041,0.14817000000000002,2,0.1246,0.07633000000000001
Nycticorax nycticorax,NA,0.804,1.12,0.26532000000000006,2,0.1773,0.13668000000000002
Platalea leucorodia,NA,1.565,1.37,0.51645,2,0.2488,0.26605
Dendrocopos major,NA,0.073,0.422,0.02409,2,0.0238,0.012410000000000001
Dryobates minor,NA,0.0155,0.269,0.005115000000000001,2,0.0103,0.002635
Jynx torquilla,NA,0.0373,0.294,0.012309,2,0.0116,0.006341
Picus viridis,NA,0.156,0.517,0.051480000000000005,2,0.0457,0.026520000000000002
Podiceps auritus,NA,0.3695,0.59,0.121935,2,0.035,0.06281500000000001
Podiceps cristatus,NA,0.79,0.786,0.26070000000000004,2,0.0561,0.1343
Podiceps grisegena,NA,0.48,0.72,0.1584,2,0.0542,0.0816
Podilymbus podiceps,NA,0.3435,0.6,0.11335500000000001,2,0.0291,0.05839500000000001
Tachybaptus ruficollis,NA,0.18,0.44,0.0594,2,0.0236,0.030600000000000002
Diomedea exulans,NA,8.502,3.408,2.8056600000000005,2,0.6206,1.4453400000000003
Hydrobates leucorhous,NA,0.0265,0.48,0.008745,2,0.0251,0.004505
Hydrobates pelagicus,NA,0.0174,0.332,0.005742,2,0.01,0.002958
Calonectris diomedea,NA,0.572,1.211,0.18875999999999998,2,0.128,0.09724
Fulmarus glacialis,NA,0.7245,1.09,0.23908500000000002,2,0.102,0.12316500000000001
Puffinus puffinus,NA,0.342,0.811,0.11286000000000002,2,0.0575,0.05814000000000001
Aegolius acadicus,NA,0.108,0.43,0.03564,2,0.042,0.01836
Asio flammeus,NA,0.39,1.075,0.1287,2,0.1396,0.06630000000000001
Asio otus,NA,0.247,0.941,0.08151,2,0.1082,0.04199
Asio otus,NA,0.259,0.99,0.08547,2,0.119,0.04403000000000001
Athene noctua,NA,0.1615,0.589,0.053295,2,0.0459,0.027455000000000004
Bubo bubo,NA,1.72,1.641,0.5676,2,0.3715,0.2924
Bubo scandiacus,NA,1.404,1.4,0.46332,2,0.2576,0.23868
Bubo virginianus,NA,1.463,1.4,0.48279000000000005,2,0.248,0.24871000000000004
Megascops asio,NA,0.216,0.56,0.07128,2,0.0499,0.03672
Otus scops,NA,0.0498,0.523,0.016434,2,0.0405,0.008466
Strix aluco,NA,0.418,0.95,0.13794,2,0.1304,0.07106
Strix varia,NA,0.51,1.118,0.1683,2,0.183,0.08670000000000001
Tyto alba,NA,0.279,0.973,0.09207000000000001,2,0.1163,0.04743000000000001
Fregata aquila,NA,1.62,2.019,0.5346000000000001,2,0.324,0.27540000000000003
Phalacrocorax carbo,NA,2.115,1.71,0.6979500000000001,2,0.1967,0.35955000000000004
Morus bassanus,NA,2.69,1.836,0.8877,2,0.245,0.45730000000000004
Rhynchotus rufescens,NA,0.8217000000000001,0.674,0.27116100000000004,2,0.0657,0.13968900000000004
Phoeniconaias minor,f,1.56,1.1665,0.5148,2,0.16188,0.26520000000000005
Phoeniconaias minor,m,1.69,1.392,0.5577,2,0.1853,0.2873
Phoeniconaias minor,NA,1.5925,1.2229,0.525525,2,0.168571,0.27072500000000005
Phoenicopterus ruber,f,2.57333,1.5043,0.8491989,2,0.2481,0.4374661
Phoenicopterus ruber,m,2.855,1.6917,0.94215,2,0.2751,0.48535000000000006
Phoenicopterus ruber,NA,2.73429,1.6111,0.9023157,2,0.2661,0.46482930000000006
