name,sex,bodymass,wingspan,fat_mass,order,wingarea,muscle_mass,range,body_mass_out,fat_mass_out,muscle_mass_out,start_min_speed,end_min_speed
Burhinus oedicnemus,NA,0.522,0.837,0.17226000000000002,2,0.0757,0.08874000000000001,6271.525829695721,0.28683858300425535,-0,0.08874000000000001,13.786724503393744,11.293155447784732
Charadrius hiaticula,NA,0.062200000000000005,0.408,0.020526000000000003,2,0.0188,0.010574000000000002,5295.693324344962,0.03418330516458765,-0,0.010574000000000002,9.713589034793939,7.95688601267591
Eudromias morinellus,NA,0.09,0.466,0.0297,2,0.0247,0.015300000000000001,5502.786780233213,0.049445671333982054,-0,0.015300000000000001,10.280817079621388,8.420651042068396
Pluvialis apricaria,NA,0.178,0.585,0.05874,2,0.0356,0.030260000000000002,5991.396825725838,0.09780092718125091,-0,0.030260000000000002,11.519081506332848,9.435162265083084
Pluvialis squatarola,NA,0.216,0.654,0.07128,2,0.0413,0.03672,6465.941561878552,0.1186600958260048,-0,0.03672,11.620696676369194,9.517775455142926
Vanellus vanellus,NA,0.211,0.75,0.06963,2,0.0668,0.03587,6670.082088798812,0.1159419561341697,-0,0.03587,10.76708844852366,8.819237614648053
Haematopus ostralegus,NA,0.438,0.805,0.14454,2,0.0622,0.07446000000000001,6610.037827255122,0.2406980434495588,-0,0.07446000000000001,13.25911047575107,10.861081357606036
Larus ridibundus,NA,0.261,0.971,0.08613000000000001,2,0.0853,0.04437000000000001,8513.461659408576,0.14340882527750873,-0,0.04437000000000001,10.158292358019136,8.320168004921808
Larus argentatus,NA,1.189,1.43,0.39237000000000005,2,0.2105,0.20213000000000003,8280.627884124302,0.6532641569530354,-0,0.20213000000000003,13.879884215886953,11.368478100519518
Larus canus,NA,0.367,1.08,0.12111000000000001,2,0.1149,0.06239,8503.418409822867,0.20167360386227803,-0,0.06239,10.791578350672568,8.839227943899889
Larus marinus,NA,1.915,1.72,0.63195,2,0.2719,0.32555,9017.738179784998,1.052187183126163,-0,0.32555,14.836100877532122,12.151806934104007
Rissa tridactyla,NA,0.488,1.05,0.16104000000000002,2,0.0967,0.08296,8246.33558435992,0.26816115623146486,-0,0.08296,12.035775396350092,9.8584191715778
Sterna hirundo,NA,0.118,0.829,0.03894,2,0.0563,0.02006,8455.666183948144,0.06484034229383595,-0,0.02006,8.436767824022672,6.910210963202182
Recurvirostra avosetta,NA,0.295,0.772,0.09735,2,0.0684,0.05015,6495.581965957409,0.16211876120008983,-0,0.05015,11.867458062859058,9.721087437541492
Actitis hypoleucos,NA,0.0485,0.357,0.016005000000000002,2,0.0148,0.008245,4950.446885285433,0.026643790583941333,-0,0.008245,9.557437689751792,7.828020236883184
Arenaria interpres,NA,0.10779999999999999,0.476,0.035574,2,0.0213,0.018326,5805.768584952006,0.05922162016209123,-0,0.018326,10.80327904488209,8.848412031394643
Calidris alba,NA,0.0419,0.354,0.013827,2,0.016,0.007123000000000001,4837.347587027173,0.02302469553313057,-0,0.007123000000000001,9.14086845621164,7.487529521516322
Calidris alpina,NA,0.044,0.36,0.01452,2,0.0126,0.00748,5333.465325203096,0.024182598008837354,0,0.00748,9.213421305284694,7.547279582345922
Calidris canutus,NA,0.088,0.503,0.02904,2,0.0269,0.01496,5957.067851374432,0.04836139633133868,-0,0.01496,9.821587546451841,8.0451861785687
Calidris pugnax,NA,0.18,0.632,0.0594,2,0.0457,0.030600000000000002,6122.217150681615,0.09889113893967003,-0,0.030600000000000002,11.123861036036855,9.111098858051385
Gallinago gallinago,NA,0.1038,0.448,0.034254,2,0.02475,0.017646000000000002,5059.14210664837,0.057036406207013106,-0,0.017646000000000002,10.996222627908944,9.007292322066839
Limosa lapponica,NA,0.197,0.733,0.06501000000000001,2,0.052,0.033490000000000006,7136.884631002485,0.10823045120889381,-0,0.033490000000000006,10.644694765121354,8.718409901211086
Limosa limosa,NA,0.228,0.69,0.07524,2,0.0527,0.03876,6344.850174087762,0.12528613269596145,-0,0.03876,11.519335828045802,9.43561362388755
Lymnocryptes minimus,NA,0.057,0.393,0.01881,2,0.0178,0.00969,5186.983755658433,0.03131599328541991,-0,0.00969,9.613216046278733,7.873879113484742
Numenius arquata,NA,0.768,1.044,0.25344,2,0.1175,0.13056,6908.852199647249,0.42197971139481605,-0,0.13056,14.041012664714327,11.500974901457123
Scolopax rusticola,NA,0.322,0.665,0.10626000000000001,2,0.0596,0.054740000000000004,5278.026265639673,0.1768842349817415,-0,0.054740000000000004,13.1655747765998,10.783485144817025
Tringa erythropus,NA,0.133,0.541,0.043890000000000005,2,0.0326,0.02261,5803.484392315672,0.07307081540064624,-0,0.02261,10.868925282264561,8.902387742742542
Tringa nebularia,NA,0.156,0.608,0.051480000000000005,2,0.0406,0.026520000000000002,6189.215471973432,0.0857155886947371,-0,0.026520000000000002,10.812745408758426,8.856576533064342
Tringa ochropus,NA,0.0727,0.472,0.023991000000000002,2,0.0248,0.012359,5753.647123953693,0.03995279486975211,-0,0.012359,9.513305429817533,7.792648323135687
Tringa totanus,NA,0.133,0.516,0.043890000000000005,2,0.0366,0.02261,5149.12698885225,0.07307898579799879,-0,0.02261,11.129108718167997,9.116026606939005
Ciconia ciconia,NA,3.438,1.978,1.13454,2,0.4951,0.5844600000000001,7693.169218278621,1.889248120709556,-0,0.5844600000000001,16.816111500801185,13.77473514084093
