Species_original,Sex,Adult_Juvenile,BirdTree_WJSpecID,Species_BirdTree,Species_IOC13.1,Order_IOC13.1,Family_IOC13.1,English.name_IOC13.1,Multiling_IOC13.1_Japanese,N_studies,body.mass_g,wingspan_m,wing.area_m2,ref,def_span,def_area
Aix sponsa,NA,NA,659,Aix sponsa,Aix sponsa,ANSERIFORMES,Anatidae,Wood Duck,アメリカオシ,1,589,0.711,0.066,Viscor 1987,?-?,?-?
Anas acuta,NA,NA,708,Anas acuta,Anas acuta,ANSERIFORMES,Anatidae,Northern Pintail,オナガガモ,4,970,0.89,0.0761,Viscor 1987,?-?,?-?
Anas carolinensis,NA,NA,714,Anas crecca,Anas carolinensis,ANSERIFORMES,Anatidae,Green-winged Teal,アメリカコガモ,1,321,0.61,0.0374,Viscor 1987,?-?,?-?
Anas crecca,NA,NA,714,Anas crecca,Anas crecca,ANSERIFORMES,Anatidae,Eurasian Teal,コガモ,5,293,0.578,0.0349,Viscor 1987,?-?,?-?
Anas plathyrynchos,NA,NA,679,Anas platyrhynchos,Anas platyrhynchos,ANSERIFORMES,Anatidae,Mallard,マガモ,1,1105,0.9,0.0928,Viscor 1987,?-?,?-?
Anas rubripes,NA,NA,677,Anas rubripes,Anas rubripes,ANSERIFORMES,Anatidae,American Black Duck,アメリカガモ,1,1142,0.9,0.1007,Viscor 1987,?-?,?-?
Anser albifrons,NA,NA,603,Anser albifrons,Anser albifrons,ANSERIFORMES,Anatidae,Greater White-fronted Goose,マガン,4,1715,1.41,0.1835,Viscor 1987,?-?,?-?
Anser anser,NA,NA,607,Anser anser,Anser anser,ANSERIFORMES,Anatidae,Greylag Goose,ハイイロガン,4,3065,1.63,0.2697,Viscor 1987,?-?,?-?
Anser fabalis,NA,NA,600,Anser fabalis,Anser fabalis,ANSERIFORMES,Anatidae,Taiga Bean Goose,ニシヒシクイ,2,3110,1.62,0.2675,Viscor 1987,?-?,?-?
Aythia affinis,NA,NA,739,Aythya affinis,Aythya affinis,ANSERIFORMES,Anatidae,Lesser Scaup,コスズガモ,1,763,0.74,0.0472,Viscor 1987,?-?,?-?
